problemId,tags,rating,name,solved
1792:F2,brute force+divide and conquer+dp+fft+graphs,,Graph Coloring (hard version),96
1792:F1,dp+graphs,,Graph Coloring (easy version),185
1792:E,brute force+dfs and similar+dp+implementation+number theory,,Divisors and Table,498
1792:D,binary search+data structures+hashing+math+sortings,,Fixed Prefix Permutations,2959
1792:C,binary search+brute force+greedy+math+two pointers,,Min Max Sort,6044
1792:B,greedy+math,,Stand-up Comedian,10355
1792:A,greedy+sortings,,GamingForces,17313
1783:G,data structures+divide and conquer+implementation+trees,2800.0,Weighed Tree Radius,226
1783:F,dfs and similar+flows+graph matchings+graphs,2500.0,Double Sort II,515
1783:E,brute force+data structures+math+number theory,2300.0,Game of the Year,1389
1783:D,brute force+dp+implementation,2000.0,Different Arrays,2752
1783:C,binary search+greedy+sortings,1700.0,Yet Another Tournament,6239
1783:B,constructive algorithms+math,1100.0,Matrix of Differences,13383
1783:A,constructive algorithms+math+sortings,800.0,Make it Beautiful,20509
1781:H2,,3500.0,Window Signals (hard version),32
1781:H1,,3200.0,Window Signals (easy version),60
1781:G,constructive algorithms+trees,3200.0,Diverse Coloring,92
1781:F,combinatorics+dp+math+trees,2700.0,Bracket Insertion,414
1781:E,binary search+brute force+data structures+greedy+implementation+two pointers,2300.0,Rectangle Shrinking,1025
1781:D,brute force+math+number theory,1800.0,Many Perfect Squares,3429
1781:C,brute force+constructive algorithms+greedy+implementation+sortings+strings,1600.0,Equal Frequencies,4655
1781:B,brute force+greedy+sortings,1000.0,Going to the Cinema,9824
1781:A,geometry+math,800.0,Parallel Projection,12239
1780:G,binary search+math+number theory+string suffix structures,,Delicious Dessert,234
1780:F,bitmasks+combinatorics+data structures+dp+number theory+sortings,,Three Chairs,584
1780:E,binary search+brute force+data structures+math+number theory,,Josuke and Complete Graph,535
1780:D,binary search+bitmasks+constructive algorithms+interactive,,Bit Guessing Game,2483
1780:B,brute force+greedy+math+number theory,,GCD Partition,10496
1780:A,constructive algorithms+greedy,,Hayato and School,15592
1779:H,brute force+meet-in-the-middle,3500.0,Olympic Team Building,90
1779:G,constructive algorithms+graphs+shortest paths,3000.0,The Game of the Century,191
1779:F,bitmasks+constructive algorithms+dp+trees,2500.0,Xorcerer's Stones,914
1779:E,constructive algorithms+graphs+greedy+interactive+sortings,2400.0,Anya's Simultaneous Exhibition,1305
1779:D,constructive algorithms+data structures+dp+dsu+greedy+sortings,1700.0,Boris and His Amazing Haircut,5296
1779:C,data structures+greedy,1600.0,Least Prefix Sum,8643
1779:B,constructive algorithms+math,900.0,MKnez's ConstructiveForces Task,18050
1779:A,constructive algorithms+greedy+strings,800.0,Hall of Fame,20008
1777:F,bitmasks+data structures+divide and conquer+strings+trees,,Comfortably Numb,390
1777:E,binary search+dfs and similar+graphs+trees,,Edge Reverse,855
1777:D,bitmasks+combinatorics+dfs and similar+dp+math+probabilities+trees,,Score of a Tree,1795
1777:C,binary search+math+number theory+sortings+two pointers,,Quiz Master,4479
1777:B,combinatorics+greedy+math,,Emordnilap,12290
1777:A,greedy+math,,Everybody Likes Good Arrays!,15541
1775:F,constructive algorithms+dp+greedy+math,2500.0,Laboratory on Pluto,497
1775:E,greedy+implementation,2100.0,The Human Equation,2082
1775:D,dfs and similar+graphs+math+number theory+shortest paths,1800.0,Friendly Spiders,3475
1775:C,bitmasks+math,1600.0,Interesting Sequence,6420
1775:B,bitmasks+constructive algorithms,1300.0,Gardener and the Array,8686
1775:A2,constructive algorithms+greedy,900.0,Gardener and the Capybaras (hard version),13957
1775:A1,brute force+constructive algorithms+implementation,800.0,Gardener and the Capybaras (easy version),15332
1774:H,constructive algorithms,3500.0,Maximum Permutation,92
1774:G,brute force+combinatorics+constructive algorithms+data structures+dp+trees,3200.0,Segment Covering,165
1774:F2,binary search+brute force+data structures+implementation,2700.0,Magician and Pigs (Hard Version),434
1774:F1,brute force+data structures+implementation,2400.0,Magician and Pigs (Easy Version),798
1774:E,dfs and similar+dp+greedy+trees,1900.0,Two Chess Pieces,2398
1774:D,brute force+constructive algorithms+greedy+implementation+two pointers,1600.0,Same Count One,5322
1774:C,constructive algorithms+dp+greedy,1300.0,Ice and Fire,8765
1774:B,constructive algorithms+greedy+math,1500.0,Coloring,8109
1774:A,constructive algorithms+math,800.0,Add Plus Minus Sign,18886
1773:L,dp,3500.0,Lisa's Sequences,4
1773:K,constructive algorithms,1900.0,King's Puzzle,957
1773:J,constructive algorithms+math,2900.0,Jumbled Trees,56
1773:I,brute force+games+implementation+interactive,2500.0,Interactive Factorial Guessing,303
1773:H,binary search+interactive,2600.0,Hot and Cold,212
1773:G,bitmasks+combinatorics+dp+fft+math+probabilities,2800.0,Game of Questions,180
1773:F,constructive algorithms,800.0,Football,2763
1773:E,greedy+sortings,1400.0,Easy Assembly,2451
1773:D,combinatorics+flows+graph matchings+greedy,2600.0,Dominoes,248
1773:C,,3500.0,Cactus Meets Torus,19
1773:B,binary search+divide and conquer+hashing+implementation+probabilities+trees,2200.0,BinCoin,500
1773:A,constructive algorithms+graph matchings+math+probabilities,1900.0,Amazing Trick,946
1772:G,binary search+greedy+implementation+math+sortings+two pointers,2200.0,Gaining Rating,852
1772:F,constructive algorithms+dfs and similar+graphs+implementation+sortings,2000.0,Copy of a Copy of a Copy,1388
1772:E,games,1700.0,Permutation Game,4223
1772:D,constructive algorithms+math,1400.0,Absolute Sorting,8928
1772:C,constructive algorithms+greedy+math,1000.0,Different Differences,16526
1772:B,brute force+implementation,800.0,Matrix Rotation,21592
1772:A,implementation,800.0,A+B?,27040
1771:F,binary search+bitmasks+data structures+hashing+probabilities+strings+trees,2500.0,Hossam and Range Minimum Query,559
1771:E,brute force+dp+implementation+two pointers,2500.0,Hossam and a Letter,498
1771:D,brute force+data structures+dfs and similar+dp+strings+trees,2100.0,Hossam and (sub-)palindromic tree,1862
1771:C,greedy+math+number theory,1600.0,Hossam and Trainees,5892
1771:B,binary search+constructive algorithms+dp+two pointers,1400.0,Hossam and Friends,8562
1771:A,combinatorics+math+sortings,900.0,Hossam and Combinatorics,16911
1770:H,constructive algorithms,3500.0,"Koxia, Mahiru and Winter Festival",48
1770:G,divide and conquer+fft+math,3400.0,Koxia and Bracket,92
1770:F,bitmasks+combinatorics+dp+math+number theory,3100.0,Koxia and Sequence,313
1770:E,combinatorics+dfs and similar+dp+dsu+math+probabilities+trees,2400.0,Koxia and Tree,1010
1770:D,constructive algorithms+data structures+dfs and similar+dsu+flows+games+graph matchings+graphs+implementation,2000.0,Koxia and Game,2853
1770:C,brute force+chinese remainder theorem+math+number theory,1700.0,Koxia and Number Theory,6663
1770:B,constructive algorithms,1000.0,Koxia and Permutation,15734
1770:A,brute force+greedy,1000.0,Koxia and Whiteboards,17989
1769:D3,*special+brute force,2300.0,Игра в Девятку III,104
1769:D2,*special+brute force,2200.0,Игра в Девятку II,173
1769:D1,*special+brute force+dp,1800.0,Игра в Девятку I,311
1769:C2,*special+dp,1300.0,Подкрутка II,676
1769:C1,*special+brute force+dp+greedy,1200.0,Подкрутка I,707
1769:B2,*special+binary search+brute force+math,1400.0,Копирование файлов II,723
1769:B1,*special+brute force+implementation+math,1000.0,Копирование файлов I,1095
1769:A,*special+math,800.0,Узкая дорога,1513
1768:F,dp+greedy,2900.0,Wonderful Jump,392
1768:E,combinatorics+math+number theory,2300.0,Partial Sorting,1305
1768:D,constructive algorithms+dfs and similar+graphs+greedy,1800.0,Lucky Permutation,4758
1768:C,constructive algorithms+greedy+implementation+sortings,1300.0,Elemental Decompress,9937
1768:B,greedy+math,900.0,Quick Sort,17278
1768:A,greedy+math+number theory,800.0,Greatest Convex,22559
1767:F,data structures+trees,3100.0,Two Subtrees,74
1767:E,bitmasks+brute force+dp+graphs+math+meet-in-the-middle+trees,2500.0,Algebra Flash,517
1767:D,combinatorics+constructive algorithms+dp+greedy+math,1500.0,Playoff,6992
1767:C,data structures+dp,2100.0,Count Binary Strings,1796
1767:B,data structures+greedy+sortings,800.0,Block Towers,16502
1767:A,implementation,800.0,Cut the Triangle,17494
1766:F,flows,2800.0,MCF,151
1766:E,binary search+brute force+data structures+divide and conquer+dp+two pointers,2300.0,Decomposition,845
1766:D,math+number theory,1600.0,Lucky Chains,5592
1766:C,dp+implementation,1300.0,Hamiltonian Wall,9807
1766:B,implementation,1000.0,Notepad#,15346
1766:A,brute force+implementation,800.0,Extremely Round,18594
1765:N,greedy,1500.0,Number Reduction,2572
1765:M,math+number theory,1000.0,Minimum LCM,7080
1765:L,brute force+data structures+implementation,2400.0,Project Manager,409
1765:K,greedy+math,1500.0,Torus Path,3341
1765:J,graph matchings+math,2900.0,Hero to Zero,90
1765:I,implementation+shortest paths,2800.0,Infinite Chess,113
1765:H,binary search+graphs+greedy+implementation,2200.0,Hospital Queue,784
1765:G,constructive algorithms+interactive+probabilities,2600.0,Guess the String,218
1765:F,dp+geometry+probabilities,2200.0,Chemistry Lab,396
1765:E,brute force+math,1000.0,Exchange,6415
1765:D,binary search+constructive algorithms+two pointers,1700.0,Watch the Videos,2371
1765:C,combinatorics+dp+probabilities,2600.0,Card Guessing,191
1765:B,greedy,800.0,Broken Keyboard,6733
1765:A,bitmasks+dsu+flows+graph matchings,2400.0,Access Levels,459
1764:H,data structures,3400.0,Doremy's Paint 2,60
1764:G3,binary search+interactive,3300.0,Doremy's Perfect DS Class (Hard Version),208
1764:G2,binary search+interactive,3000.0,Doremy's Perfect DS Class (Medium Version),254
1764:G1,binary search+interactive,2900.0,Doremy's Perfect DS Class (Easy Version),296
1764:F,brute force+constructive algorithms+dfs and similar+dsu+sortings+trees,2500.0,Doremy's Experimental Tree,684
1764:E,dp+greedy+sortings,2400.0,Doremy's Number Line,948
1764:D,combinatorics+dp+math,2000.0,Doremy's Pegging Game,2069
1764:C,graphs+greedy,1400.0,Doremy's City Construction,6767
1764:B,math+number theory,900.0,Doremy's Perfect Math Class,12111
1764:A,greedy,800.0,Doremy's Paint,14126
1763:F,data structures+dfs and similar+dp+dsu+graphs+trees,3000.0,Edge Queries,227
1763:E,dp+graphs+math+number theory,2200.0,Node Pairs,1197
1763:D,combinatorics+dp+implementation+math+number theory,2200.0,Valid Bitonic Permutations,1497
1763:C,brute force+constructive algorithms+greedy,2000.0,Another Array Problem,4787
1763:B,binary search+brute force+data structures+implementation+math+sortings,1200.0,Incinerate,9802
1763:A,bitmasks+constructive algorithms+greedy+math,800.0,Absolute Maximization,13035
1762:G,constructive algorithms+sortings,3100.0,Unequal Adjacent Elements,47
1762:F,binary search+data structures+dp,2600.0,Good Pairs ,269
1762:E,combinatorics+math+trees,2600.0,Tree Sum,388
1762:D,constructive algorithms+interactive+number theory,2100.0,GCD Queries ,2429
1762:C,combinatorics+math,1400.0,Binary Strings are Fun,6702
1762:B,constructive algorithms+implementation+number theory+sortings,1100.0,Make Array Good,12664
1762:A,greedy+math+number theory,800.0,Divide and Conquer,15906
1761:G,interactive+probabilities+trees,3500.0,Centroid Guess,70
1761:F2,combinatorics+dp+math,3500.0,Anti-median (Hard Version),36
1761:F1,dp+math,3100.0,Anti-median (Easy Version),119
1761:E,binary search+brute force+constructive algorithms+dsu+graphs+greedy+matrices+trees+two pointers,2400.0,Make It Connected,1325
1761:D,combinatorics+math,2100.0,Carry Bit,1814
1761:C,constructive algorithms+dfs and similar+graphs+greedy,1400.0,Set Construction,6821
1761:B,constructive algorithms+greedy+implementation,1000.0,Elimination of a Ring,10584
1761:A,brute force+constructive algorithms,800.0,Two Permutations,13412
1760:G,bitmasks+dfs and similar+graphs,1700.0,SlavicG's Favorite Problem,4595
1760:F,binary search+greedy+sortings,1500.0,Quests,7320
1760:E,data structures+greedy+math,1100.0,Binary Inversions,13871
1760:D,implementation+two pointers,1000.0,Challenging Valleys,16378
1760:C,data structures+implementation+sortings,800.0,Advantage,25172
1760:B,greedy+implementation+strings,800.0,Atilla's Favorite Problem,29130
1760:A,implementation+sortings,800.0,Medium Number,32766
1759:G,binary search+constructive algorithms+data structures+greedy+math,1900.0,Restore the Permutation,2950
1759:F,binary search+data structures+greedy+math+number theory,1800.0,All Possible Digits,2480
1759:E,brute force+dp+sortings,1500.0,The Humanoid,6667
1759:D,brute force+number theory,1400.0,Make It Round,8050
1759:C,greedy+math+shortest paths,1100.0,Thermostat,13016
1759:B,math,800.0,Lost Permutation,17705
1759:A,implementation+strings,800.0,Yes-Yes?,21967
1758:F,constructive algorithms+data structures,3000.0,Decent Division,92
1758:E,combinatorics+dfs and similar+dsu+graphs,2500.0,"Tick, Tock",583
1758:D,binary search+brute force+constructive algorithms+math+two pointers,1800.0,Range = √Sum,4849
1758:C,greedy+number theory,1400.0,Almost All Multiples,9114
1758:B,constructive algorithms,900.0,XOR = Average,15957
1758:A,constructive algorithms+strings,800.0,SSeeeeiinngg DDoouubbllee,20188
1754:B,constructive algorithms+greedy+math,800.0,Kevin and Permutation,16600
1754:A,greedy,800.0,Technical Support,19756
1753:F,brute force+two pointers,3500.0,Minecraft Series,126
1753:E,binary search+brute force+greedy,3300.0,N Machines,226
1753:D,constructive algorithms+dfs and similar+graphs+shortest paths,2400.0,The Beach,1185
1753:C,dp+math+probabilities,2000.0,Wish I Knew How to Sort,2879
1753:B,math+number theory,1600.0,Factorial Divisibility,9054
1753:A2,constructive algorithms+dp+greedy,1500.0,Make Nonzero Sum (hard version),7599
1753:A1,constructive algorithms+dp+greedy,1300.0,Make Nonzero Sum (easy version),11300
1750:H,constructive algorithms+data structures+dp,3500.0,BinaryStringForces,38
1750:G,combinatorics+dp+math,3300.0,Doping,100
1750:F,combinatorics+dp+math+strings,2700.0,Majority,465
1750:E,binary search+data structures+divide and conquer+dp+greedy+strings,2400.0,Bracket Cost,1081
1750:D,combinatorics+math+number theory,1800.0,Count GCD,4198
1750:C,constructive algorithms+implementation,1400.0,Complementary XOR,7468
